Goal,Source,Style,Type,root,Unnamed: 5,Unnamed: 6,xcomps,quantities,sentiment,sentiment_confidence
Blog,,Practice,,blog,,,[],[],POSITIVE,0.7880194187164307
Lose weight,,Lifestyle,,lose,,,[],[],NEGATIVE,0.9995598196983337
Write a book,,Target,,write,,,[],[],POSITIVE,0.9962592124938965
Stop procrastinating,,Lifestyle,,stop,,,[],[],NEGATIVE,0.9984186887741089
Fall in love,,Target,,fall,,,[],[],POSITIVE,0.9987572431564331
Be happy,,Lifestyle,,happy,,,[],[],POSITIVE,0.9998737573623657
Journal,,Practice,,Journal,,,[],[],POSITIVE,0.9654771685600281
Get a tattoo,,Target,,get,,,[],[],POSITIVE,0.9744714498519897
Go on a road trip with no predetermined destination,,Target,,go,,,[],[],NEGATIVE,0.9884003400802612
Get married,,Target,,marry,,,[],[],POSITIVE,0.996825098991394
Travel the world,,Target,,Travel,,,[],[],POSITIVE,0.9993171691894531
Drink more water,,Practice,,drink,,,[],[],NEGATIVE,0.896675169467926
See the Northern Lights,,Target,,see,,,[],[],POSITIVE,0.9957296252250671
Learn Spanish,,,,learn,,,[],[],POSITIVE,0.9979630708694458
Save money,,,,save,,,[],[],POSITIVE,0.9871343970298767
Take more pictures,,,,take,,,[],[],NEGATIVE,0.7316718697547913
Kiss in the rain,,,,kiss,,,[],[],POSITIVE,0.9973663687705994
Buy a house,,,,buy,,,[],[],POSITIVE,0.9961280822753906
Make new friends,,,,make,,,[],[],POSITIVE,0.9998565912246704
Learn how to play the guitar,,,,learn,,,[],[],POSITIVE,0.9980576634407043
Run a marathon,,,,run,,,[],[],POSITIVE,0.9676716327667236
Learn French,,,,learn,,,[],[],POSITIVE,0.9989131689071655
Get a job,,,,get,,,[],[],POSITIVE,0.996857762336731
Get out of debt,,,,get,,,[],[],NEGATIVE,0.9785158634185791
Read more books,,,,read,,,[],[],POSITIVE,0.9929076433181763
Be more confident,,,,confident,,,[],[],POSITIVE,0.9994537234306335
Write a novel,,,,write,,,[],[],POSITIVE,0.9991033673286438
Be successful,,,,successful,,,[],[],POSITIVE,0.9998506307601929
Skydive,,,,skydive,,,[],[],POSITIVE,0.996190071105957
Eat healthier,,,,eat,,,[],[],POSITIVE,0.9990249872207642
Exercise regularly,,,,Exercise,,,[],[],POSITIVE,0.9800026416778564
Learn Japanese,,,,learn,,,[],[],POSITIVE,0.9980169534683228
Get in shape,,,,get,,,[],[],POSITIVE,0.9992948770523071
Learn to cook,,,,learn,,,['cook'],[],POSITIVE,0.9991773962974548
Start my own business,,,,start,,,[],[],POSITIVE,0.9918012022972107
Quit smoking,,,,quit,,,[],[],NEGATIVE,0.9935977458953857
Travel,,,,travel,,,[],[],POSITIVE,0.9982280135154724
Visit all 50 states,,,,visit,,,[],"[{'item': 'states', 'amount': '50'}]",POSITIVE,0.9977013468742371
Get my finances in order,,,,get,,,[],[],NEGATIVE,0.9916841983795166
Start a company,,,,start,,,[],[],POSITIVE,0.998598039150238
Get more organized,,,,get,,,['organize'],[],POSITIVE,0.9634715914726257
Buy a new home,,,,buy,,,[],[],POSITIVE,0.9982084035873413
Exercise more ,,,,Exercise,,,[],[],NEGATIVE,0.5418069958686829
Spend more time with friends and family,,,,spend,,,[],[],POSITIVE,0.996690034866333
Travel more,,,,Travel,,,[],[],POSITIVE,0.9951764345169067
Start a business,,,,start,,,[],[],POSITIVE,0.9989370703697205
Learn to play the flute,,,,learn,,,['play'],[],POSITIVE,0.9960047602653503
Buy a new car,,,,buy,,,[],[],POSITIVE,0.9825766682624817
Lose weight,,,,lose,,,[],[],NEGATIVE,0.9995598196983337
Volunteer more often,,,,volunteer,,,[],[],POSITIVE,0.9822777509689331
Disconnect from technology,,,,disconnect,,,[],[],NEGATIVE,0.9995538592338562
Remodel my home,,,,remodel,,,[],[],POSITIVE,0.9956117868423462
Quit my vices,,,,quit,,,[],[],NEGATIVE,0.9995111227035522
Redecorate my home,,,,redecorate,,,[],[],POSITIVE,0.9995738863945007
Cook more frequently,,,,cook,,,[],[],POSITIVE,0.9954429864883423
